LSOA11CD,pct_bad_health_2011,pct_bad_health_2021
E01000001,2.048,1.966
E01000002,2.716,2.312
E01000003,6.166,3.162
E01000005,7.31,7.182
E01000006,4.169,3.411
E01000007,5.032,3.37
E01000008,3.692,4.345
E01000009,6.825,4.986
E01000010,3.099,3.658
E01000011,4.957,4.348
E01000012,3.419,3.538
E01000013,9.217,5.933
E01000014,6.341,4.626
E01000015,5.31,4.012
E01000016,6.414,4.754
E01000017,7.152,6.555
E01000018,6.324,5.803
E01000019,6.752,4.825
E01000020,8.561,8.215
E01000021,7.536,5.483
E01000022,6.545,5.156
E01000023,6.295,3.138
E01000024,6.587,5.118
E01000025,7.582,5.625
E01000027,6.261,6.724
E01000028,8.974,6.278
E01000029,7.491,5.162
E01000030,6.736,5.774
E01000031,4.947,4.628
E01000032,6.568,5.197
E01000033,6.539,7.129
E01000034,9.418,6.667
E01000035,6.77,6.828
E01000036,3.326,4.694
E01000037,4.502,3.3
E01000038,5.598,5.012
E01000039,5.303,4.167
E01000040,7.776,5.216
E01000041,5.767,4.126
E01000042,6.991,5.685
E01000043,7.364,5.205
E01000044,6.007,5.382
E01000045,5.697,5.113
E01000046,5.734,6.493
E01000048,6.338,4.44
E01000049,5.22,4.967
E01000050,7.465,4.405
E01000051,5.708,0.996
E01000052,6.604,4.434
E01000053,8.35,6.184
E01000054,6.577,4.869
E01000055,5.538,4.692
E01000056,5.934,5.817
E01000057,5.882,5.097
E01000058,5.787,5.761
E01000059,6.574,4.793
E01000060,5.583,5.734
E01000061,5.293,6.13
E01000062,6.455,4.644
E01000063,6.049,5.39
E01000064,6.233,6.533
E01000065,10.599,7.669
E01000066,5.239,4.562
E01000067,4.571,3.889
E01000068,3.962,4.067
E01000069,3.914,2.815
E01000070,4.405,4.297
E01000071,5.016,3.607
E01000072,6.68,5.592
E01000073,7.844,5.192
E01000074,6.509,6.257
E01000075,7.737,5.144
E01000076,5.936,6.71
E01000077,7.543,5.876
E01000078,6.303,7.004
E01000079,8.668,6.061
E01000080,8.29,6.415
E01000081,6.576,5.111
E01000082,5.882,4.548
E01000083,7.235,5.993
E01000084,6.125,5.084
E01000085,6.112,4.924
E01000086,5.451,5.456
E01000087,6.861,4.89
E01000088,5.197,4.81
E01000089,4.082,2.904
E01000090,4.482,3.339
E01000091,6.301,6.561
E01000092,5.722,2.901
E01000093,8.274,6.468
E01000094,3.394,3.291
E01000095,4.389,3.602
E01000096,4.96,4.699
E01000097,9.388,6.829
E01000098,7.045,5.785
E01000099,6.524,3.634
E01000100,6.352,6.179
E01000101,9.187,5.585
E01000102,7.273,6.169
E01000103,6.053,4.566
E01000104,5.896,4.7
E01000105,6.2,5.918
E01000106,7.012,5.075
E01000107,5.942,5.042
E01000108,5.071,4.073
E01000109,4.626,3.454
E01000110,5.014,3.497
E01000111,5.128,4.13
E01000112,4.917,3.247
E01000113,4.586,3.86
E01000114,5.167,2.976
E01000115,3.437,3.367
E01000116,3.9,3.668
E01000117,5.058,4.954
E01000118,3.667,2.199
E01000119,5.06,3.79
E01000120,4.521,3.612
E01000121,8.55,7.786
E01000122,3.603,3.111
E01000123,4.267,2.724
E01000124,4.874,3.801
E01000125,6.693,5.719
E01000126,5.227,5.103
E01000127,6.047,5.973
E01000128,4.922,3.904
E01000129,9.203,5.237
E01000130,5.552,5.475
E01000131,5.537,3.958
E01000132,4.533,4.455
E01000133,8.057,6.379
E01000134,4.902,3.564
E01000135,5.307,3.529
E01000136,3.916,2.757
E01000137,8.618,5.914
E01000138,4.693,5.068
E01000139,3.639,3.677
E01000140,5.028,3.476
E01000141,4.42,4.936
E01000142,6.09,5.004
E01000143,7.745,5.805
E01000144,3.836,5.235
E01000145,2.9,4.464
E01000146,3.497,4.274
E01000147,3.691,3.084
E01000148,6.193,4.293
E01000150,5.0,3.858
E01000151,5.202,5.288
E01000152,3.644,2.935
E01000153,7.268,5.861
E01000154,7.941,5.431
E01000155,2.926,2.656
E01000156,3.893,2.667
E01000157,4.672,3.477
E01000158,4.354,4.437
E01000159,4.952,3.859
E01000160,2.62,2.508
E01000161,6.041,4.474
E01000162,7.88,6.848
E01000163,6.868,6.32
E01000164,6.643,5.199
E01000165,3.545,3.424
E01000166,4.298,5.182
E01000167,6.733,5.536
E01000168,3.9,4.351
E01000169,4.295,4.663
E01000170,5.012,4.143
E01000171,4.11,3.843
E01000172,4.174,3.136
E01000173,3.956,3.491
E01000174,5.729,4.662
E01000175,3.912,2.363
E01000176,7.254,7.213
E01000177,2.273,2.345
E01000178,4.578,3.706
E01000179,2.726,1.845
E01000180,4.729,4.765
E01000181,3.331,2.253
E01000182,4.14,3.397
E01000183,5.567,6.767
E01000184,6.365,5.238
E01000185,6.842,7.802
E01000186,3.536,2.262
E01000187,4.707,3.915
E01000188,3.282,3.549
E01000189,5.458,3.888
E01000190,3.547,3.986
E01000191,4.984,4.003
E01000192,3.784,3.457
E01000193,3.979,3.696
E01000194,3.659,2.938
E01000195,5.761,5.996
E01000196,4.384,4.475
E01000197,3.388,3.674
E01000198,2.747,2.644
E01000199,3.649,3.671
E01000200,4.228,3.633
E01000201,3.07,2.661
E01000202,2.798,2.392
E01000203,4.948,4.935
E01000204,3.125,3.469
E01000205,1.905,1.927
E01000206,2.855,1.531
E01000207,2.969,2.47
E01000208,2.886,2.455
E01000209,3.647,3.644
E01000210,2.842,2.455
E01000211,4.121,5.075
E01000212,1.471,3.267
E01000213,2.086,2.517
E01000214,1.744,2.894
E01000215,4.033,3.636
E01000216,4.116,3.286
E01000217,2.493,1.794
E01000218,3.025,3.633
E01000219,3.202,4.007
E01000220,6.734,4.979
E01000221,7.883,6.303
E01000222,4.425,5.94
E01000223,6.449,4.724
E01000224,3.913,3.783
E01000225,3.435,3.369
E01000226,7.452,5.245
E01000227,4.854,2.574
E01000228,3.038,3.621
E01000229,5.219,5.449
E01000230,5.546,3.265
E01000231,3.732,3.973
