LSOA11CD,LSOA21CD,CHGIND
E01031349,E01031349,U
E01031350,E01031350,U
E01031351,E01031351,U
E01031352,E01031352,U
E01031370,E01031370,U
E01031374,E01031374,U
E01031338,E01031338,U
E01031339,E01031339,U
E01031340,E01031340,U
E01031365,E01031365,U
E01031367,E01031367,U
E01031345,E01031345,U
E01031353,E01031353,U
E01031354,E01031354,U
E01031355,E01031355,U
E01031359,E01031359,U
E01031347,E01031347,U
E01031348,E01031348,U
E01031366,E01031366,U
E01031371,E01031371,U
E01031372,E01031372,U
E01031373,E01031373,U
E01031375,E01031375,U
E01031356,E01031356,U
E01031357,E01031357,U
E01031364,E01031364,U
E01031368,E01031368,U
E01031369,E01031369,U
E01031344,E01031344,U
E01031346,E01031346,U
E01031361,E01031361,U
E01031362,E01031362,U
E01031363,E01031363,U
E01031358,E01031358,U
E01031360,E01031360,U
E01031376,E01031376,U
E01031378,E01031378,U
E01031341,E01031341,U
E01031342,E01031342,U
E01031343,E01031343,U
E01031377,E01031377,U
E01031379,E01031379,U
E01019126,E01019126,U
E01019127,E01019127,U
E01019132,E01019132,U
E01019134,E01019134,U
E01019135,E01019135,U
E01019136,E01019136,U
E01019137,E01019137,U
E01019083,E01019083,U
E01019105,E01034068,M
E01019106,E01019106,U
E01019400,E01019400,U
E01019401,E01019401,U
E01019402,E01019402,U
E01019404,E01019404,U
E01019406,E01019406,U
E01019423,E01019423,U
E01019424,E01019424,U
E01019477,E01019477,U
E01019403,E01019403,U
E01019444,E01019444,U
E01019468,E01019468,U
E01019469,E01019469,U
E01019471,E01019471,U
E01019443,E01019443,U
E01019470,E01019470,U
E01019473,E01019473,U
E01019474,E01019474,U
E01019475,E01019475,U
E01019476,E01019476,U
E01019420,E01019420,U
E01019442,E01019442,U
E01019445,E01019445,U
E01019455,E01019455,U
E01019456,E01019456,U
E01019457,E01019457,U
E01019429,E01019429,U
E01019454,E01019454,U
E01019460,E01019460,U
E01019461,E01019461,U
E01019462,E01019462,U
E01019405,E01019405,U
E01019414,E01019414,U
E01019428,E01019428,U
E01019430,E01019430,U
E01019421,E01019421,U
E01019422,E01019422,U
E01019432,E01019432,U
E01019458,E01019458,U
